
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 07월 28일~08월 26일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
강화,201,07-28,      25.0,      28.8,      22.1,      13.1,      83.6,       4.9,,,    1002.0,    1007.3,       2.0
양평,202,07-28,      26.0,      30.7,      22.4,      12.2,      80.0,       5.0,,,    1002.3,    1007.8,       1.1
이천,203,07-28,      25.9,      30.6,      22.2,      12.0,      77.4,       5.1,,,     998.5,    1007.1,       1.1
인제,211,07-28,      24.4,      29.1,      20.9,      10.3,      79.5,       4.5,,,     984.9,    1007.4,       1.8
홍천,212,07-28,      25.6,      30.8,      21.7,      10.8,      76.6,       5.1,,,     991.6,    1007.5,       1.1
태백,216,07-28,      22.6,      27.0,      19.1,       5.8,      77.7,       5.0,,,     928.7,    1006.7,       1.6
정선군,217,07-28,      24.8,      30.0,      21.2,       6.3,      79.5,       4.8,,,     973.5,    1007.8,       1.5
제천,221,07-28,      24.7,      29.7,      20.8,       8.2,      78.1,       5.2,,,     978.3,    1007.6,       1.2
보은,226,07-28,      25.3,      30.4,      21.4,       6.9,      76.2,       5.9,,,     987.5,    1007.0,       1.1
천안,232,07-28,      26.3,      30.9,      22.5,       6.6,      77.0,       5.8,,,    1003.3,    1007.1,       1.5
보령,235,07-28,      26.4,      30.0,      23.4,       4.3,      82.6,       6.2,,,    1005.1,    1007.2,       2.2
부여,236,07-28,      26.8,      31.6,      23.1,       5.6,      78.4,       6.3,,,    1005.9,    1007.4,       1.3
금산,238,07-28,      26.1,      31.4,      21.9,       5.6,      75.5,       5.9,,,     988.1,    1007.3,       1.1
부안,243,07-28,      26.8,      31.6,      23.3,       5.0,      78.9,       6.8,,,    1006.2,    1007.4,       1.6
임실,244,07-28,      25.5,      30.8,      21.6,       7.5,      78.3,       5.8,,,     979.8,    1007.4,       1.3
정읍,245,07-28,      27.2,      32.1,      23.4,       4.4,      75.5,       5.8,,,    1002.2,    1007.4,       1.3
남원,247,07-28,      26.5,      31.8,      22.4,       5.2,      77.9,       6.3,,,     996.1,    1007.5,       1.3
장수,248,07-28,      24.4,      29.4,      20.4,       7.1,      80.8,       5.2,,,     962.1,    1007.3,       1.6
영광군,252,07-28,      27.0,      31.4,      23.7,       5.5,      82.0,       6.6,,,    1003.6,    1007.8,       2.1
김해시,253,07-28,      27.5,      32.0,      24.2,       7.2,      76.2,       6.2,,,    1002.1,    1008.7,       1.9
순창군,254,07-28,      26.6,      31.8,      22.8,       9.9,      78.4,       6.1,,,     993.6,    1007.9,       1.4
양산시,257,07-28,      27.8,      32.6,      24.4,       6.3,      74.6,       6.6,,,    1007.6,    1009.3,       2.6
강진군,259,07-28,      27.0,      31.1,      23.6,       4.2,      82.4,       6.5,,,    1007.2,    1008.6,       2.0
장흥,260,07-28,      26.2,      30.7,      22.7,       5.6,      81.5,       5.7,,,    1002.5,    1007.4,       1.7
해남,261,07-28,      26.6,      30.9,      23.1,       4.8,      81.9,       7.0,,,    1005.5,    1007.5,       2.2
고흥,262,07-28,      26.2,      30.6,      22.7,       5.5,      78.4,       6.5,,,    1001.8,    1007.7,       1.4
의령군,263,07-28,      26.9,      32.2,      22.5,       5.9,      81.9,       6.2,,,    1006.4,    1008.1,       1.1
함양군,264,07-28,      26.7,      32.4,      22.1,       7.4,      83.5,       6.0,,,     990.9,    1007.8,       0.8
진도군,268,07-28,      26.9,      30.9,      23.8,       3.6,,,,,,,       1.9
봉화,271,07-28,      23.9,      29.4,      19.6,       5.8,      80.0,       5.0,,,     971.6,    1007.0,       1.0
영주,272,07-28,      25.3,      30.3,      21.2,       5.4,      76.6,       5.3,,,     983.8,    1007.1,       1.6
문경,273,07-28,      25.3,      30.4,      21.3,       7.3,      79.2,       5.4,,,     988.1,    1007.4,       1.1
청송군,276,07-28,      25.6,      31.7,      20.7,       5.2,      79.6,       6.2,,,     984.7,    1007.9,       1.0
영덕,277,07-28,      25.6,      30.2,      21.9,       4.5,      76.8,       6.8,,,    1003.8,    1008.4,       2.2
의성,278,07-28,      26.2,      32.1,      21.3,       5.0,      74.9,       5.8,,,     998.4,    1007.4,       1.0
구미,279,07-28,      26.8,      31.9,      22.6,       3.8,      75.9,       6.1,,,    1002.4,    1007.6,       1.2
영천,281,07-28,      26.5,      31.7,      22.1,       4.4,      72.9,       6.3,,,     997.4,    1007.8,       1.6
경주시,283,07-28,      27.2,      33.1,      22.8,       2.8,      76.1,       7.1,,,    1003.8,    1008.1,       2.1
경주시,283,07-28,      27.2,      33.1,      22.8,       2.8,      76.1,       7.1,,,    1003.8,    1008.1,       2.1
거창,284,07-28,      25.5,      31.1,      21.3,       5.0,      79.3,       6.1,,,     982.5,    1007.6,       1.1
합천,285,07-28,      26.8,      32.2,      22.4,       4.5,      72.8,       5.8,,,    1004.0,    1007.7,       1.4
밀양,288,07-28,      27.0,      32.2,      22.8,       6.2,      76.5,       6.0,,,    1006.6,    1007.9,       1.5
산청,289,07-28,      26.1,      31.2,      22.2,       6.1,      76.6,       6.1,,,     992.4,    1008.1,       1.2
거제,294,07-28,      26.4,      30.2,      23.5,      10.5,      77.4,       6.1,,,    1003.1,    1007.5,       1.8
남해,295,07-28,      26.6,      31.0,      23.3,       8.5,      78.2,       6.6,,,    1003.1,    1008.4,       1.4
강남,400,07-28,      27.3,      31.0,      24.2,      13.7,,,,,,,       1.6
서초,401,07-28,      27.5,      31.7,      24.3,      12.4,,,,,,,       1.2
강동,402,07-28,      27.0,      31.2,      23.6,      14.1,,,,,,,       1.4
송파,403,07-28,      27.4,      31.3,      24.1,      12.1,,,,,,,       1.6
강서,404,07-28,      26.5,      30.4,      23.5,      14.2,,,,,,,       1.8
양천,405,07-28,      27.5,      31.3,      24.4,      13.2,,,,,,,       1.5
도봉,406,07-28,      26.4,      30.8,      23.0,      11.4,,,,,,,       1.0
노원,407,07-28,      26.1,      30.5,      22.6,      14.6,,,,,,,       1.3
동대문,408,07-28,      27.3,      31.3,      24.2,      13.9,,,,,,,       1.8
중랑,409,07-28,      27.3,      31.1,      24.4,      15.2,,,,,,,       2.2
기상청,410,07-28,      26.7,      30.4,      23.6,      13.8,,,,,,,       1.5
마포,411,07-28,      26.9,      30.7,      24.1,      15.2,,,,,,,       2.1
서대문,412,07-28,      26.0,      30.4,      22.9,      15.6,,,,,,,       1.3
광진,413,07-28,      27.2,      31.1,      24.0,      14.0,,,,,,,       1.7
성북,414,07-28,      26.3,      30.1,      23.3,      14.5,,,,,,,       1.7
용산,415,07-28,      27.4,      31.4,      24.4,      13.8,,,,,,,       1.9
은평,416,07-28,      26.2,      30.2,      23.0,      14.4,,,,,,,       1.6
금천,417,07-28,      26.6,      29.9,      23.9,      13.6,,,,,,,       2.1
중구,419,07-28,      25.5,      30.0,      22.6,      14.5,,,,,,,       1.6
성동,421,07-28,      26.9,      30.5,      24.1,      15.2,,,,,,,       2.2
구로,423,07-28,      26.5,      30.5,      23.5,       9.5,,,,,,,       2.0
강북,424,07-28,      27.3,      31.3,      24.2,      14.1,,,,,,,       1.7
남현,425,07-28,      26.1,      30.1,      23.0,      17.4,,,,,,,       1.2
부천,433,07-28,      26.5,      30.0,      23.8,      13.3,,,,,,,       1.3
안양,434,07-28,      26.5,      29.8,      23.9,      12.5,,,,,,,       2.0
광명,437,07-28,      26.8,      30.3,      24.2,      15.1,,,,,,,       2.0
군포,438,07-28,      26.4,      30.1,      23.8,      13.0,,,,,,,       1.5
김포,441,07-28,      25.7,      29.5,      22.8,       9.1,,,,,,,       1.6
하남,444,07-28,      26.2,      30.3,      22.9,      13.4,,,,,,,       0.7
의왕,445,07-28,      25.5,      29.4,      22.7,      13.8,,,,,,,       0.8
포천,504,07-28,      26.1,      30.9,      22.6,      15.1,,,,,,,       1.4
가평조종,505,07-28,      24.6,      29.7,      21.1,      15.9,,,,,,,       0.9
영등포,510,07-28,      27.5,      31.3,      24.6,      14.1,,,,,,,       1.6
인천연수,512,07-28,      26.6,      30.6,      23.7,       8.6,,,,,,,       1.7
안성,516,07-28,      27.0,      31.4,      23.4,      11.6,,,,,,,       1.0
간성,517,07-28,      24.4,      28.2,      21.3,       7.5,,,,,,,       1.2
평창,526,07-28,      24.1,      29.0,      20.3,       7.2,,,,,,,       1.0
의정부,532,07-28,      26.0,      30.4,      22.5,      15.8,,,,,,,       1.0
횡성,536,07-28,      25.6,      30.7,      21.8,      11.1,,,,,,,       0.9
고양,540,07-28,      26.1,      30.8,      22.6,      13.5,,,,,,,       1.1
남양주,541,07-28,      25.8,      30.5,      22.2,      15.1,,,,,,,       1.0
안산,545,07-28,      26.2,      30.7,      22.6,      10.9,,,,,,,       1.4
경기광주,546,07-28,      25.7,      30.3,      22.5,      14.3,,,,,,,       1.5
여주,548,07-28,      25.8,      30.6,      22.3,      11.3,,,,,,,       1.0
용인,549,07-28,      25.8,      30.3,      22.4,      12.8,,,,,,,       1.2
오산,550,07-28,      26.5,      31.1,      23.1,      12.3,,,,,,,       1.1
평택,551,07-28,      27.2,      31.4,      23.5,      10.0,,,,,,,       1.6
화천,555,07-28,      25.1,      30.6,      21.4,      14.1,,,,,,,       0.8
양구,556,07-28,      24.5,      29.9,      21.0,      10.8,,,,,,,       0.9
시흥,565,07-28,      26.8,      30.6,      23.8,       9.5,,,,,,,       1.6
구리,569,07-28,      26.7,      30.8,      23.3,      14.6,,,,,,,       1.3
금곡,570,07-28,      25.6,      29.5,      22.6,      10.2,,,,,,,       1.4
화성,571,07-28,      26.2,      30.1,      23.2,      12.2,,,,,,,       1.3
성남,572,07-28,      27.0,      31.0,      23.8,      12.8,,,,,,,       1.2
과천,590,07-28,      26.5,      30.8,      23.1,      13.2,,,,,,,       1.7
진부령,595,07-28,      22.1,      25.8,      19.4,       7.5,,,,,,,       2.6
양주,598,07-28,      25.9,      30.4,      22.3,      15.3,,,,,,,       1.5
단양,601,07-28,      25.8,      31.0,      21.9,       5.7,,,,,,,       0.8
진천,602,07-28,      25.5,      30.5,      21.7,       8.6,,,,,,,       1.0
괴산,603,07-28,      25.5,      30.4,      21.7,      10.3,,,,,,,       1.0
옥천,604,07-28,      26.3,      31.6,      22.5,       5.4,,,,,,,       0.9
홍북,608,07-28,      26.3,      30.6,      22.5,       6.2,,,,,,,       1.6
세종연서,611,07-28,      25.5,      30.7,      21.6,       6.3,,,,,,,       1.1
공주,612,07-28,      26.8,      31.7,      23.1,       5.7,,,,,,,       1.2
서천,614,07-28,      26.7,      30.8,      23.6,       5.4,,,,,,,       1.7
논산,615,07-28,      26.7,      31.5,      23.1,       6.4,,,,,,,       1.4
당진,616,07-28,      26.1,      30.2,      22.9,      10.4,,,,,,,       1.8
청양,618,07-28,      26.2,      30.8,      22.2,       5.9,,,,,,,       1.1
음성,619,07-28,      25.5,      30.7,      21.4,       8.0,,,,,,,       1.1
증평,623,07-28,      26.1,      31.3,      22.4,       9.1,,,,,,,       1.0
태안,627,07-28,      26.3,      30.0,      23.6,       6.4,,,,,,,       1.9
예산,628,07-28,      27.0,      31.6,      23.5,       7.0,,,,,,,       1.9
아산,634,07-28,      26.7,      31.1,      23.4,       8.8,,,,,,,       1.8
계룡,636,07-28,      26.0,      30.9,      22.1,       7.6,,,,,,,       1.0
오월드,642,07-28,      27.4,      32.2,      23.9,       8.0,,,,,,,       1.2
세천,643,07-28,      26.2,      31.5,      22.5,       7.2,,,,,,,       0.9
장동,648,07-28,      26.4,      31.3,      22.6,       6.6,,,,,,,       1.0
부평,649,07-28,      26.6,      31.2,      23.4,      13.6,,,,,,,       0.5
연천청산,652,07-28,      26.1,      30.8,      22.5,      13.1,,,,,,,       1.0
양양,670,07-28,      25.9,      29.4,      23.0,       4.2,,,,,,,       1.9
사북,674,07-28,      22.4,      26.5,      19.1,       4.1,,,,,,,       2.8
무안,699,07-28,      26.9,      31.2,      23.6,       3.2,,,,,,,       1.9
무주,701,07-28,      25.6,      31.2,      21.3,       6.1,,,,,,,       1.2
익산,702,07-28,      27.1,      31.9,      23.5,       5.5,,,,,,,       1.5
진안,703,07-28,      24.8,      29.8,      21.0,       9.5,,,,,,,       1.4
담양,706,07-28,      26.5,      31.3,      22.9,       5.4,,,,,,,       1.3
광산,708,07-28,      27.5,      32.4,      23.5,       4.6,,,,,,,       1.6
구례,709,07-28,      27.1,      32.7,      23.2,       5.7,,,,,,,       1.1
나주,710,07-28,      27.3,      32.6,      23.6,       4.9,,,,,,,       1.3
순천시,712,07-28,      27.1,      31.4,      24.0,       7.7,,,,,,,       1.5
광양읍,713,07-28,      27.0,      32.2,      23.4,       7.4,,,,,,,       1.1
조선대,722,07-28,      27.1,      31.8,      23.8,       5.7,,,,,,,       1.8
거문도,723,07-28,      26.3,      29.4,      24.3,       3.6,,,,,,,       3.0
추자도,724,07-28,      26.0,      28.7,      24.0,       4.2,,,,,,,       3.4
장성,730,07-28,      26.6,      31.9,      23.0,       5.1,,,,,,,       1.4
영암,731,07-28,      27.3,      31.6,      23.8,       4.5,,,,,,,       2.0
보성,732,07-28,      25.6,      30.3,      22.3,       5.8,,,,,,,       1.6
완주,734,07-28,      27.2,      32.3,      23.2,       7.9,,,,,,,       1.5
김제,737,07-28,      27.4,      32.2,      24.1,       5.5,,,,,,,       2.0
화순,741,07-28,      26.9,      32.5,      23.2,       5.4,,,,,,,       0.9
함평,754,07-28,      27.4,      31.9,      23.9,       5.7,,,,,,,       1.5
곡성,768,07-28,      26.7,      32.2,      22.9,       6.2,,,,,,,       1.1
성판악,782,07-28,      22.2,      25.7,      19.5,      20.5,,,,,,,       2.3
풍암,788,07-28,      27.7,      32.9,      24.0,       5.8,,,,,,,       1.3
압해도,789,07-28,      26.8,      31.0,      23.9,       3.2,,,,,,,       2.6
영양,801,07-28,      24.4,      29.8,      20.4,       4.7,,,,,,,       1.2
성주,810,07-28,      26.6,      32.0,      22.5,       4.8,,,,,,,       1.2
고령,812,07-28,      26.5,      31.9,      22.4,       5.5,,,,,,,       1.0
청도,813,07-28,      26.7,      32.2,      22.5,       5.3,,,,,,,       1.4
예천,815,07-28,      25.7,      31.2,      21.6,       6.0,,,,,,,       1.0
김천,822,07-28,      26.7,      32.4,      22.3,       4.3,,,,,,,       0.8
군위,823,07-28,      26.1,      32.2,      21.6,       4.5,,,,,,,       1.3
칠곡,825,07-28,      26.9,      32.4,      23.0,       4.7,,,,,,,       1.6
경산,827,07-28,      27.5,      33.1,      23.6,       4.1,,,,,,,       1.8
달성,828,07-28,      27.4,      33.1,      23.6,       4.4,,,,,,,       1.6
대구서구,846,07-28,      27.9,      32.9,      24.0,       3.5,,,,,,,       1.9
신암,860,07-28,      27.9,      32.5,      24.1,       3.6,      69.5,       5.9,       6.3,,    1001.0,    1007.7,       2.3
완산,864,07-28,      27.7,      32.4,      24.0,       6.6,      75.6,       5.1,       6.4,       4.4,    1000.7,    1006.9,       1.8
삼척,876,07-28,      25.9,      29.6,      22.9,       3.3,,,,,,,       1.5
울기,901,07-28,      24.1,      26.9,      22.0,       5.0,,,,,,,       2.5
삼천포,907,07-28,      26.4,      30.1,      23.8,       6.6,,,,,,,       1.7
영도,910,07-28,      24.7,      27.6,      22.7,       5.0,,,,,,,       3.7
고성,918,07-28,      27.0,      31.2,      23.7,       7.8,,,,,,,       2.1
창녕,919,07-28,      27.5,      33.1,      23.3,       5.1,,,,,,,       1.8
함안,920,07-28,      26.8,      32.8,      22.6,       6.0,,,,,,,       1.2
가덕도,921,07-28,      25.6,      29.1,      23.4,       5.6,,,,,,,       3.7
기장,923,07-28,      25.9,      29.9,      22.8,       6.9,,,,,,,       1.8
간절곶,924,07-28,      24.2,      26.8,      22.0,       5.5,,,,,,,       3.6
하동,932,07-28,      27.6,      32.7,      23.8,       8.2,,,,,,,       1.3
해운대,937,07-28,      26.2,      29.9,      23.5,       6.5,,,,,,,       2.4
부산진,938,07-28,      27.2,      31.1,      24.4,       7.9,,,,,,,       2.1
동래,940,07-28,      27.1,      31.3,      24.2,       6.7,,,,,,,       2.0
북구,941,07-28,      26.8,      30.8,      23.7,       7.4,,,,,,,       2.3
부산남구,942,07-28,      27.0,      30.2,      24.5,       7.8,,,,,,,       2.3
정자,949,07-28,      25.8,      30.1,      22.0,       3.7,,,,,,,       2.3
속초,90,07-29,      25.2,      28.5,      22.5,       6.8,      81.3,       5.0,,,    1004.5,    1006.6,       1.9
철원,95,07-29,      25.1,      29.2,      21.8,      14.9,      83.1,       4.5,,,     989.3,    1006.7,       1.8
동두천,98,07-29,      25.5,      29.8,      22.4,      17.6,      81.0,       4.1,,,     994.6,    1007.2,       1.6
파주,99,07-29,      25.6,      30.1,      22.5,      12.0,      85.5,       4.8,,,    1004.5,    1008.0,       1.4
대관령,100,07-29,      21.1,      24.9,      18.3,       6.9,      85.6,       5.2,,,     918.3,    1007.1,       3.6
춘천,101,07-29,      26.1,      30.4,      22.6,      11.4,      81.3,       4.7,,,     998.4,    1007.0,       1.1
백령도,102,07-29,      23.9,      26.7,      21.8,       5.1,      89.8,       3.5,       7.8,,     991.6,    1006.8,       4.0
강릉,105,07-29,      26.4,      29.9,      23.5,       4.9,      73.2,       5.5,,,    1004.0,    1007.0,       2.0
동해,106,07-29,      24.9,      28.5,      22.1,       3.6,      80.6,       5.8,,,    1002.8,    1007.0,       1.7
서울,108,07-29,      26.8,      30.3,      24.0,      13.4,      76.5,       4.0,       7.2,       3.6,     997.1,    1006.9,       2.1
인천,112,07-29,      25.9,      29.2,      23.5,      11.4,      84.4,       5.4,       7.0,       3.8,     998.9,    1006.7,       2.5
원주,114,07-29,      26.4,      31.0,      22.9,       9.7,      76.8,       4.4,,,     990.2,    1007.0,       0.9
울릉도,115,07-29,      24.6,      27.7,      22.4,       2.5,      82.4,       6.3,       6.3,       4.8,     982.6,    1007.6,       3.4
수원,119,07-29,      26.8,      30.6,      23.8,      12.3,      80.3,       4.5,       7.0,       4.1,    1003.1,    1007.2,       1.6
영월,121,07-29,      25.2,      30.6,      21.4,       7.5,      80.9,       4.9,,,     980.7,    1007.7,       1.0
충주,127,07-29,      26.2,      31.0,      22.4,       8.5,      76.3,       5.0,,,     996.2,    1007.2,       1.2
서산,129,07-29,      26.2,      30.1,      23.2,       8.3,      84.2,       5.2,,,    1004.3,    1007.1,       2.5
울진,130,07-29,      24.9,      28.9,      21.9,       4.2,      81.5,       6.3,,,    1001.5,    1007.2,       2.6
청주,131,07-29,      27.3,      31.7,      23.8,       7.9,      74.1,       5.4,       6.7,       4.6,    1000.6,    1007.1,       1.8
대전,133,07-29,      27.1,      31.3,      23.7,       7.2,      78.4,       5.9,       6.5,       4.5,     999.4,    1007.2,       1.8
추풍령,135,07-29,      25.5,      30.5,      21.6,       4.1,      78.8,       5.7,,,     979.9,    1007.3,       1.5
안동,136,07-29,      26.3,      31.3,      22.3,       4.4,      76.6,       6.2,       6.3,       4.8,     991.7,    1007.6,       1.4
상주,137,07-29,      26.4,      31.6,      22.6,       4.7,      78.4,       5.9,,,     997.3,    1008.3,       1.1
포항,138,07-29,      27.2,      31.1,      24.2,       4.3,      76.1,       6.7,       5.9,       5.3,    1007.4,    1007.8,       2.5
군산,140,07-29,      26.9,      30.8,      24.0,       4.6,      84.0,       6.1,,,    1004.2,    1007.2,       2.8
울산,152,07-29,      26.9,      31.2,      23.5,       5.6,      76.5,       6.1,       5.9,,    1002.9,    1007.7,       2.0
창원,155,07-29,      27.0,      31.1,      24.1,       8.0,      79.3,       6.1,       5.8,,    1005.0,    1007.5,       2.0
광주,156,07-29,      27.6,      32.0,      24.3,       5.5,      77.4,       5.7,       6.3,,     999.0,    1007.2,       2.3
부산,159,07-29,      26.3,      29.7,      24.0,       8.4,      80.6,       7.1,       5.7,       4.5,     999.9,    1007.8,       3.7
통영,162,07-29,      26.2,      29.8,      23.6,       7.3,      83.1,       6.4,,,    1004.5,    1008.1,       2.5
목포,165,07-29,      27.0,      30.5,      24.3,       3.3,      82.7,       6.9,       5.8,       4.9,    1002.6,    1007.4,       3.2
여수,168,07-29,      26.3,      29.3,      24.2,       6.0,      82.8,       6.8,       5.7,       5.4,    1000.1,    1007.7,       3.3
흑산도,169,07-29,      24.7,      27.9,      22.4,       2.0,      91.5,       5.0,       6.6,,     998.3,    1007.2,       4.5
완도,170,07-29,      26.6,      30.5,      23.6,       6.0,      83.3,       6.4,,,    1003.9,    1007.5,       2.7
고창,172,07-29,      27.5,      31.9,      24.2,       6.7,      84.2,       6.2,,,    1002.3,    1008.2,       2.5
제주,184,07-29,      27.8,      31.0,      25.2,       3.8,      76.7,       7.7,       5.2,       5.9,    1004.9,    1007.4,       2.6
고산,185,07-29,      26.7,      29.6,      24.5,       2.5,      86.5,       7.6,,,     999.0,    1007.2,       4.9
성산,188,07-29,      27.0,      30.4,      24.1,       5.9,      83.0,       7.1,,,    1005.7,    1007.8,       3.0
서귀포,189,07-29,      27.6,      30.4,      25.5,       4.4,      82.8,       6.7,       5.9,       4.9,    1001.6,    1007.4,       2.4
진주,192,07-29,      26.8,      31.7,      23.2,       7.4,      78.5,       6.1,,,    1004.6,    1007.5,       1.5
강화,201,07-29,      25.1,      28.9,      22.3,      12.7,      84.0,       4.8,,,    1001.9,    1007.3,       1.9
양평,202,07-29,      26.1,      30.7,      22.6,      12.1,      80.8,       4.8,,,    1002.3,    1007.8,       1.1
이천,203,07-29,      26.0,      30.7,      22.4,      12.1,      78.0,       4.9,,,     998.5,    1007.1,       1.1
인제,211,07-29,      24.6,      29.4,      21.2,       9.8,      79.5,       4.5,,,     984.8,    1007.3,       1.7
홍천,212,07-29,      25.8,      31.0,      22.0,      10.7,      76.9,       5.0,,,     991.6,    1007.5,       1.1
태백,216,07-29,      22.9,      27.4,      19.3,       5.4,      77.0,       5.2,,,     928.7,    1006.6,       1.6
정선군,217,07-29,      24.9,      30.1,      21.3,       8.8,      80.5,       4.4,,,     973.7,    1008.1,       1.4
제천,221,07-29,      24.8,      29.9,      20.9,       8.6,      78.5,       5.2,,,     978.3,    1007.6,       1.1
보은,226,07-29,      25.5,      30.7,      21.6,       7.5,      76.8,       5.8,,,     987.5,    1007.0,       1.0
천안,232,07-29,      26.3,      31.1,      22.6,       6.9,      77.5,       5.7,,,    1003.3,    1007.1,       1.4
보령,235,07-29,      26.5,      30.1,      23.5,       5.0,      82.9,       6.1,,,    1005.1,    1007.2,       2.2
